Life expectancy,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,Total expenditure,Population,Schooling
53.2,498,8.3,194.2032879,46,52852,24.1,3.7,17182933,9.8
77.7,1,4.09,1043.10795,89,0,49.3,7.8,418738,12.2
79.3,0,12.1,5316.877456,83,15,52.2,1.56,8171966,14.7
72.4,0,12.9,1423.802386,94,2,6,7.9,397282,16.8
69.9,24,0.58,88.16506179,9,10841,47.3,5.25,29843937,9.3
66.9,1,4.61,134.1678932,97,8,45.9,5.29,2668289,13.8
67.3,0,0.01,225.7307751,95,0,3.1,8.35,191266,11.1
71.7,2,2.72,60.55818291,51,199,47,8.72,4357,11.8
61.4,8,0.02,61.76263795,74,4,26.1,3.23,347541,7.2
81,2,11.92,405.4475981,96,22,6.5,8.12,43653155,15.8
78.3,0,11.28,507.306164,64,44,59.4,9.3,1376133,18.6
54.1,24,4.5,21.24915339,92,784,14.5,11.49,7675338,5.9
74.4,1,8.65,106.164686,94,44,49.9,8.17,482,12.5
72.8,9,3.99,84.17527008,36,0,43.6,3.38,12628596,12.4
68.8,10,0.01,71.50892145,94,16,38.2,6.39,799562,11.1
75.4,0,5.16,8.240355867,94,166,51.5,8.37,3774,12.9
79.5,0,11.32,283.3300258,96,18,57.8,7.23,111267,14.6
71,0,0.91,471.8626525,62,0,49.1,4.71,236295,10.8
71.1,0,4.16,209.0865,66,0,23.2,5,46147,11.3
76,0,5.13,66.04635027,88,8,52.1,8.58,3763599,13.1
73.8,4,1.96,120.2471713,98,0,17.2,4.6,1952,13.1
61.3,2,0.17,56.98952474,83,1,21.1,3.82,673252,10.3
56.7,47,0.01,61.39263642,87,831,28.4,4.1,2223994,10.4
64,2,1.31,56.05686428,98,18,4.5,6.18,2469286,10.5
82,3,11.1,6646.953935,74,272,61.6,11.56,6599857,16.2
67.5,154,0.06,102.633435,76,19456,2.5,3.1,232989141,11
79.3,3,13.49,4572.441963,28,0,56.4,1.43,62244884,15.4
65.5,0,0.53,30.46703899,95,0,75.7,1.42,14656,11.9
74.9,1,1.58,805.3956346,81,12,63.5,7.19,4337141,13.3
62.4,10,0.01,25.70881695,73,12,47.2,4.78,7592865,10
61.8,10,0.79,18.99961966,56,0,44.9,4.18,718239,9.6
59.2,59,0.3,9.53048032,85,333,18.3,1.87,49479752,8.2
78.6,0,12.61,10111.38928,95,1,55.8,7.67,45163,13.6
77.8,0,4.6,364.9752287,99,0,58,6,28873,14.2
76.8,2,10.81,230.040097,97,71,59.7,6.62,3863164,15.3
73.6,8,3.88,187.3843511,75,0,45.1,4.62,13726,12.5
73.5,14,4.45,978.07041,92,0,52.8,6.62,4491544,12.2
76,38,5.35,105.7476131,98,0,57.9,5.92,111836346,12.3
86,0,11.88,4509.234803,46,443,58.9,8.76,456155,18.2
71.9,3,6.2,20.60083027,9,0,42,5.78,57374,12.1
54.1,32,1.23,13.77617463,97,26,18,11.67,15627618,10.6
67.4,2,4.26,181.0123284,96,31,44.9,5.58,2628131,13.4
69.6,0,0.01,460.6487805,99,0,61.1,4.26,879715,15
80,0,9.08,372.6854142,95,2,63.1,9.76,111717,16.2
75,5,8.48,415.1627705,21,1333,59,6.98,45761,14.9
78.3,1,4.17,112.9493745,94,0,47.3,8.23,46324,11.9
81.1,1,9.05,1162.656768,2,10,6.5,11.1,16754962,18.1
73,3,2.97,29.68529375,81,0,47,7.9,59433,11.8
61.1,11,0.71,85.7175381,61,0,42.7,4.4,6627922,8.6
51,75,8.06,239.8913921,72,1449,21,3.38,24218565,9.4
78.9,1,4.2,150.8891479,89,0,52.4,8.37,4369469,12.8
84,1,2.33,4.3451016,99,539,61.6,7.37,7181,15.7
73,7,6.32,293.0196601,79,0,46.1,5.53,896776,12.4
62.5,2,0.01,78.39008571,89,1,22.6,7.11,723868,10.8
69.6,0,1.83,300.1621026,96,20,15.2,8,286,11.3
73,6,1.18,206.2616134,68,5,46.6,4.37,87634,11.6
68,18,6.39,0.661540371,97,6,17.1,7.66,978169,10.4
54.3,57,0.53,67.70920683,9,128,18.5,6.56,1322764,6.1
69.5,0,4.72,685.0299083,84,0,52.6,5.92,5975,11.7
77,111,0.01,59.2589257,94,1986,16.4,3.8,15572753,9.9
62.9,56,0.01,170.9626624,92,354,21.3,5.72,462425,11.1
56.5,46,7.6,782.5987144,74,5857,46.4,8.39,5255813.11,12.8
84,0,8.2,2528.992935,98,3,64.9,9.24,114511,16.8
66.8,69,4.73,11.69704463,7,7120,17.8,3.21,77991569,11.4
81.1,0,11.34,2284.58215,94,2,6.1,7.18,53946,13.9
49.1,81,7.01,212.9229325,61,2807,19.8,4.37,22549547,8.5
65.9,10,0.38,2.626234903,88,3,34.1,5.7,7557,10.7
66,1300,2.5,0.844186331,37,56188,15.4,4.38,121427132,10.5
68.6,0,2.09,5.889526221,99,0,56.6,3.74,834812,14.2
81,0,10.49,703.5527332,95,51,61.3,8.1,4598294,18.6
74.6,1,9.56,915.3190791,94,370,57.7,9.72,723499,13.5
58.6,10,3.88,40.03344077,64,1,23.4,11.83,3662993,9.8
78.4,0,11.68,1128.050886,88,0,53.8,6.12,976966,12.5
63.2,2,2.87,61.84921903,95,10677,39.1,5.45,2419776,9.4
67.4,0,0.9,25.31155956,83,0,42.1,7.83,469885,8.3
72.8,9,1.25,91.70356833,8,538,45.3,4.94,178791,10.2
82.7,1,9.71,10769.36305,91,340,66.1,9.42,2346694,20.4
82.4,1,9.25,423.680459,95,131,65.4,9.1,466245,17.5
74.8,44,7.32,83.16465362,96,876,55.3,8.32,24213133,15.2
61.2,60,1.8,109.7051836,96,2395,19.5,5.23,42486839,11.1
82.3,0,7.3,1142.212403,67,26,59,11.93,969611,15.8
61.4,2,8.01,40.53719812,52,90,31.4,2.88,1444844,12.4
89,2,11.05,510.9327012,96,267,61.7,8.36,4522683,16
72.3,19,0.45,220.393699,81,3289,47.9,3.54,3283196,11.7
65.4,0,4.36,62.8565863,99,0,25.4,5.66,166913,10.4
73.8,10,4.69,570.4532468,93,0,51.5,5.36,29157,13.3
71.7,2,2.68,53.95949877,98,0,51.4,6.21,61131,13.4
66.2,359,0.01,62.29361092,72,1370,24.7,2.61,185546257,7.8
78.8,0,12.2,504.4308735,83,90,51.7,1.48,8121423,14.7
71.7,4,9.82,431.3250367,99,117,53.4,5.43,21451748,12.9
74.4,11,4.41,15.16255482,91,1,56.4,6.84,47342981,13.3
54,82,1.54,46.58195631,76,9396,18.1,5.91,231275,7
72.2,14,4.27,356.9393805,92,0,48.1,4.56,27273194,12.8
75.8,1,5.69,527.60848,95,0,49.5,8.9,3269541,12.8
66,41,1.76,30.72290501,94,101,24.9,5.17,2393831,10.4
81.9,1,10.52,8875.786493,92,70,63.9,9.2,223175,19.5
59.2,2,5.01,426.7855662,94,184,34.7,6.39,1979882,12.2
85,2,8.2,771.1817686,14,13,61.9,9.75,325755,15.8
46.2,4,2.69,9.18432717,9,2,28.3,8.47,1982287,10.6
65.8,3,0.01,796.8734263,84,86,33.3,8.24,2263934,11.5
71.8,4,2.05,13.39092189,97,21,19.2,3.37,19968,13.4
72.3,7,6.2,352.9551269,84,0,49.3,4.34,9371338,12.6
